idx,input_text,expected_text,timeout_ms,points,is_public
1,"{""args"": [4, [2,7,11,15], 9]}","[0,1]",2000,1,true
2,"{""args"": [3, [3,3,4], 6]}","[0,1]",2000,1,true
3,"{""args"": [5, [1,5,3,3,2], 6]}","[1,3]",2000,1,true
4,"{""args"": [6, [2,2,2,2,8,4], 10]}","[4,5]",2000,1,false
5,"{""args"": [7, [-3,4,3,90], 0]}","[0,2]",2000,1,false
6,"{""args"": [8, [1000000000,-1000000000,5], 5]}","[1,2]",2000,1,false
7,"{""args"": [9, [0,1,2,3,4,5,6,7,8,9,10], 17]}","[7,10]",2000,1,false
8,"{""args"": [10, [1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100], 150]}","[48,99]",2000,1,false
9,"{""args"": [11, [5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5], 10]}","[0,1]",2000,1,false
10,"{""args"": [12, [2,7,11,15,1,8,3,6,4,5,9,13,14,10], 19]}","[0,3]",2000,1,false
